Case_ID,Player_ID,Activity,Timestamp,Category,Question_Value,Answer_Given,Result,Score_After_Play
32,0,Player Player2 answered 'D' → INCORRECT (Score now -1100),2025-11-17 00:55:17,,0,,OK,
33,0,Player Player1 selected category 'Variables & Data Types',2025-11-17 00:55:21,,0,,OK,
34,0,Player Player1 selected question value 500 in 'Variables & Data Types',2025-11-17 00:55:21,,0,,OK,
35,0,Player Player1 answered 'C' → INCORRECT (Score now -700),2025-11-17 00:55:21,,0,,OK,
36,0,Player Player2 selected category 'Control Structures',2025-11-17 00:55:26,,0,,OK,
37,0,Player Player2 selected question value 300 in 'Control Structures',2025-11-17 00:55:26,,0,,OK,
38,0,Player Player2 answered 'A' → INCORRECT (Score now -1400),2025-11-17 00:55:26,,0,,OK,
39,0,Player Player1 selected category 'Control Structures',2025-11-17 00:55:29,,0,,OK,
40,0,Player Player1 selected question value 400 in 'Control Structures',2025-11-17 00:55:29,,0,,OK,
41,0,Player Player1 answered 'D' → CORRECT (Score now -300),2025-11-17 00:55:29,,0,,OK,
42,0,Player Player1 selected category 'Control Structures',2025-11-17 00:55:34,,0,,OK,
43,0,Player Player1 selected question value 500 in 'Control Structures',2025-11-17 00:55:34,,0,,OK,
44,0,Player Player1 answered 'A' → INCORRECT (Score now -800),2025-11-17 00:55:34,,0,,OK,
45,0,Player Player2 selected category 'Functions',2025-11-17 00:55:39,,0,,OK,
46,0,Player Player2 selected question value 200 in 'Functions',2025-11-17 00:55:39,,0,,OK,
47,0,Player Player2 answered 'C' → INCORRECT (Score now -1600),2025-11-17 00:55:39,,0,,OK,
48,0,Player Player1 selected category 'Functions',2025-11-17 00:55:43,,0,,OK,
49,0,Player Player1 selected question value 100 in 'Functions',2025-11-17 00:55:43,,0,,OK,
50,0,Player Player1 answered 'B' → CORRECT (Score now -700),2025-11-17 00:55:43,,0,,OK,
51,0,Player Player1 selected category 'Functions',2025-11-17 00:55:48,,0,,OK,
52,0,Player Player1 selected question value 300 in 'Functions',2025-11-17 00:55:48,,0,,OK,
53,0,Player Player1 answered 'B' → INCORRECT (Score now -1000),2025-11-17 00:55:48,,0,,OK,
54,0,Player Player2 selected category 'Arrays',2025-11-17 00:55:53,,0,,OK,
55,0,Player Player2 selected question value 100 in 'Arrays',2025-11-17 00:55:53,,0,,OK,
56,0,Player Player2 answered 'B' → INCORRECT (Score now -1700),2025-11-17 00:55:53,,0,,OK,
57,0,Player Player1 selected category 'Arrays',2025-11-17 00:55:57,,0,,OK,
58,0,Player Player1 selected question value 200 in 'Arrays',2025-11-17 00:55:57,,0,,OK,
59,0,Player Player1 answered 'D' → INCORRECT (Score now -1200),2025-11-17 00:55:57,,0,,OK,
60,0,Player Player2 selected category 'Arrays',2025-11-17 00:56:02,,0,,OK,
61,0,Player Player2 selected question value 300 in 'Arrays',2025-11-17 00:56:02,,0,,OK,
62,0,Player Player2 answered 'D' → INCORRECT (Score now -2000),2025-11-17 00:56:02,,0,,OK,
63,0,Player Player1 selected category 'Arrays',2025-11-17 00:56:06,,0,,OK,
64,0,Player Player1 selected question value 400 in 'Arrays',2025-11-17 00:56:06,,0,,OK,
65,0,Player Player1 answered 'C' → INCORRECT (Score now -1600),2025-11-17 00:56:06,,0,,OK,
66,0,Player Player2 selected category 'File Handling',2025-11-17 00:56:11,,0,,OK,
67,0,Player Player2 selected question value 100 in 'File Handling',2025-11-17 00:56:11,,0,,OK,
68,0,Player Player2 answered 'D' → INCORRECT (Score now -2100),2025-11-17 00:56:11,,0,,OK,
69,0,Player Player1 selected category 'File Handling',2025-11-17 00:56:15,,0,,OK,
70,0,Player Player1 selected question value 200 in 'File Handling',2025-11-17 00:56:15,,0,,OK,
71,0,Player Player1 answered 'B' → CORRECT (Score now -1400),2025-11-17 00:56:15,,0,,OK,
72,0,Player Player1 selected category 'File Handling',2025-11-17 00:56:20,,0,,OK,
73,0,Player Player1 selected question value 300 in 'File Handling',2025-11-17 00:56:20,,0,,OK,
74,0,Player Player1 answered 'A' → INCORRECT (Score now -1700),2025-11-17 00:56:20,,0,,OK,
75,0,Player Player2 selected category 'File Handling',2025-11-17 00:56:25,,0,,OK,
76,0,Player Player2 selected question value 400 in 'File Handling',2025-11-17 00:56:25,,0,,OK,
77,0,Player Player2 answered 'C' → CORRECT (Score now -1700),2025-11-17 00:56:25,,0,,OK,
78,0,Player Player2 selected category 'File Handling',2025-11-17 00:56:29,,0,,OK,
79,0,Player Player2 selected question value 500 in 'File Handling',2025-11-17 00:56:29,,0,,OK,
80,0,Player Player2 answered 'B' → INCORRECT (Score now -2200),2025-11-17 00:56:29,,0,,OK,
